05 Jan 2013 18:23:48,813 0  INFO (ImageHorizVertSort.java:72) - Starting net.ccaper.ImageHorizVertSort.ImageHorizVertSort.
05 Jan 2013 18:23:48,821 8  INFO (ImageHorizVertSort.java:136) - Getting list of files to sort.
05 Jan 2013 18:23:49,349 536  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/4 - reception194 - edit.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,349 536  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/1 - portraits036.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,350 537  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/4 - reception313.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,350 537  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/1 - portraits072 - edit.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,351 538  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/3 - ceremony151.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,351 538  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/1 - portraits161.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,352 539  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/4 - reception180.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,352 539  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/2 - preceremony009.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,353 540  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/4 - reception354.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,353 540  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/3 - ceremony039 - edit.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,354 541  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/4 - reception056 - edit.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,354 541  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/4 - reception226.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,355 542  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/4 - reception283.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,355 542  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/4 - reception238.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,355 542  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/1 - portraits169.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,356 543  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/4 - reception230.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,356 543  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/4 - reception225.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,357 544  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/1 - portraits085.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,357 544  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/5 - photobooth073 - edit.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,358 545  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/4 - reception240.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,359 546  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/1 - portraits122 - edit.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,359 546  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/3 - ceremony030 - edit.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,360 547  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/3 - ceremony086.jpg' is in the ignore directories list, ignoring.
05 Jan 2013 18:23:49,360 547  INFO (ImageHorizVertSort.java:265) - The directory '/media/fs_pics/Wedding/Aubrey Pics/All/BW' for file '/media/fs_pics/Wedding/Aubrey Pics/All/BW/2 - preceremony070.jpg' is in the ignore directories list, ignoring.
